ID,item_cnt_month
0,0.9
1,0.25
2,1.0
3,0.1
4,0.1
5,0.6
6,0.5
7,0.2
8,3.0
9,0.25
10,4.8
11,0.1
12,0.25
13,1.2
14,2.5
15,3.0
16,0.25
17,0.1
18,2.5
19,0.3
20,1.3
21,0.25
22,1.6
23,1.6
24,1.5
25,0.25
26,0.1
27,1.2
28,0.5
29,1.8
30,1.3
31,0.25
32,0.7
33,0.7
34,0.7
35,0.25
36,0.1
37,1.3
38,0.2
39,0.2
40,0.3
41,2.5
42,4.7
43,5.0
44,0.3
45,0.25
46,2.6
47,0.7
48,0.4
49,1.5
50,6.6
51,0.1
52,0.4
53,0.3
54,14.5
55,1.5
56,4.6
57,3.5
58,2.3
59,2.7
60,1.7
61,1.0
62,0.5
63,0.2
64,0.25
65,0.25
66,0.9
67,0.25
68,0.3
69,0.1
70,0.25
71,0.5
72,0.5
73,1.8
74,0.25
75,0.25
76,0.1
77,0.25
78,0.6
79,0.5
80,1.3
81,3.7
82,1.0
83,0.3
84,1.6
85,1.6
86,1.4
87,0.1
88,4.5
89,1.8
90,0.9
91,0.1
92,2.9
93,0.1
94,0.2
95,0.25
96,0.25
97,0.9
98,0.9
99,2.1
100,1.5
101,0.2
102,0.5
103,0.1
104,0.1
105,0.25
106,0.25
107,0.7
108,0.1
109,0.25
110,0.3
111,0.25
112,0.25
113,0.25
114,0.4
115,0.4
116,0.25
117,0.1
118,12.8
119,0.2
120,0.25
121,0.1
122,0.3
123,1.0
124,1.0
125,1.2
126,0.25
127,0.25
128,0.25
129,0.1
130,0.1
131,0.1
132,0.1
133,0.8
134,0.1
135,0.1
136,0.1
137,0.25
138,0.8
139,0.25
140,0.6
141,0.3
142,0.1
143,0.1
144,0.25
145,0.25
146,0.25
147,0.2
148,0.25
149,0.25
150,0.2
151,0.25
152,1.6
153,0.2
154,0.25
155,0.8
156,0.7
157,0.25
158,0.1
159,0.3
160,0.25
161,0.1
162,0.25
163,0.7
164,1.4
165,0.25
166,0.5
167,0.1
168,0.25
169,0.25
170,0.1
171,1.1
172,0.2
173,2.7
174,4.2
175,6.7
176,1.2
177,0.25
178,0.2
179,0.1
180,0.3
181,0.2
182,0.25
183,0.4
184,0.1
185,0.25
186,0.2
187,0.7
188,0.25
189,0.25
190,0.25
191,1.6
192,0.3
193,0.4
194,0.25
195,0.1
196,0.1
197,5.5
198,1.5
199,0.25
200,0.25
201,0.25
202,0.3
203,1.6
204,0.4
205,0.25
206,0.1
207,0.25
208,1.1
209,0.8
210,0.4
211,0.2
212,0.25
213,0.1
214,0.2
215,2.2
216,0.6
217,0.7
218,3.9
219,0.7
220,0.5
221,0.25
222,0.25
223,0.5
224,2.5
225,1.1
226,0.3
227,0.25
228,0.2
229,0.25
230,0.25
231,0.5
232,0.2
233,0.3
234,0.25
235,0.3
236,0.8
237,0.7
238,0.1
239,0.9
240,0.5
241,0.25
242,0.25
243,0.25
244,0.25
245,0.3
246,1.2
247,1.0
248,1.5
249,0.25
250,0.3
251,0.2
252,1.3
253,1.7
254,1.0
255,1.6
256,0.25
257,0.4
258,0.8
259,0.2
260,0.25
261,0.25
262,0.4
263,0.25
264,0.25
265,0.8
266,0.25
267,0.5
268,0.25
269,0.25
270,1.5
271,0.1
272,0.2
273,0.2
274,14.7
275,0.25
276,0.1
277,1.9
278,0.1
279,0.3
280,0.2
281,0.2
282,0.3
283,1.1
284,0.2
285,0.2
286,0.25
287,0.6
288,0.3
289,0.1
290,0.25
291,0.3
292,0.7
293,0.3
294,0.3
295,2.1
296,0.3
297,0.2
298,0.25
299,0.25
300,0.25
301,1.1
302,0.9
303,0.6
304,0.25
305,0.25
306,0.5
307,0.1
308,0.3
309,0.25
310,0.25
311,0.7
312,0.4
313,0.3
314,0.25
315,0.1
316,0.4
317,0.6
318,0.1
319,0.3
320,0.25
321,0.1
322,1.0
323,0.1
324,0.9
325,0.4
326,0.2
327,0.25
328,0.25
329,0.5
330,0.25
331,0.25
332,0.2
333,0.3
334,1.0
335,0.3
336,0.4
337,0.9
338,0.3
339,0.4
340,0.2
341,0.3
342,0.25
343,1.1
344,0.2
345,0.25
346,4.3
347,2.9
348,0.2
349,0.7
350,0.25
351,0.4
352,0.25
353,0.3
354,0.25
355,0.25
356,0.1
357,0.3
358,0.8
359,0.2
360,0.4
361,3.2
362,0.2
363,0.4
364,1.2
365,0.4
366,0.25
367,0.25
368,0.9
369,0.4
370,0.25
371,0.1
372,0.3
373,0.25
374,2.2
375,1.1
376,0.3
377,0.6
378,0.6
379,0.25
380,0.9
381,0.3
